severity,accuracy,mean_poly_k,elapsed_time_poly_k
-0.0,0.998,1.0,0.0953974723815918
-0.032999999821186,0.998,0.9990000000000002,0.1051640510559082
-0.0659999996423721,0.994,0.9960000000000002,0.09174799919128418
-0.0989999994635582,0.998,0.9909999999999998,0.09396934509277344
-0.1319999992847442,0.992,0.984,0.09871792793273926
-0.1649999916553497,0.986,0.9749999999999998,0.10571837425231934
-0.1979999989271164,0.974,0.9640000000000002,0.09706592559814453
-0.231000006198883,0.966,0.9510000000000002,0.0984492301940918
-0.2639999985694885,0.964,0.936,0.1012873649597168
-0.296999990940094,0.934,0.9190000000000003,0.10322165489196777
-0.3299999833106994,0.9,0.9000000000000002,0.10365843772888184
-0.3630000054836273,0.86,0.8789999999999998,0.1052556037902832
-0.3959999978542328,0.816,0.856,0.10544228553771973
-0.4289999902248382,0.782,0.8309999999999997,0.10895943641662598
-0.4620000123977661,0.724,0.8040000000000003,0.10836458206176758
-0.4950000047683716,0.648,0.7750000000000002,0.11179375648498535
-0.527999997138977,0.63,0.7439999999999999,0.11168479919433594
-0.5609999895095825,0.59,0.711,0.11185240745544434
-0.593999981880188,0.536,0.6760000000000002,0.1144404411315918
-0.6270000338554382,0.524,0.639,0.11480712890625
-0.6600000262260437,0.454,0.5999999999999998,0.11673450469970703
-0.6930000185966492,0.448,0.559,0.12749719619750977
-0.7260000109672546,0.414,0.516,0.12036681175231934
-0.7590000033378601,0.392,0.471,0.1224050521850586
-0.7919999957084656,0.35,0.4239999999999997,0.123291015625
-0.824999988079071,0.324,0.37499999999999994,0.12359404563903809
-0.8580000400543213,0.304,0.3239999999999999,0.12426280975341797
-0.8910000324249268,0.292,0.2709999999999999,0.12561893463134766
-0.9240000247955322,0.244,0.21600000000000003,0.12636637687683105
-0.9570000171661376,0.224,0.15899999999999997,0.12765002250671387
-0.9900000095367432,0.236,0.10000000000000003,0.12956547737121582
0.0,1.0,1.0,0.09395051002502441
0.032999999821186,1.0,0.9990000000000002,0.09685611724853516
0.0659999996423721,0.998,0.9960000000000002,0.09730672836303711
0.0989999994635582,0.994,0.9909999999999998,0.09929919242858887
0.1319999992847442,0.992,0.984,0.0988931655883789
0.1649999916553497,0.994,0.9749999999999998,0.10028529167175293
0.1979999989271164,0.98,0.9640000000000002,0.1014871597290039
0.231000006198883,0.97,0.9510000000000002,0.10511136054992676
0.2639999985694885,0.952,0.936,0.10372543334960938
0.296999990940094,0.934,0.9190000000000003,0.10659313201904297
0.3299999833106994,0.894,0.9000000000000002,0.10638880729675293
0.3630000054836273,0.862,0.8789999999999998,0.10789370536804199
0.3959999978542328,0.816,0.856,0.11084890365600586
0.4289999902248382,0.774,0.8309999999999997,0.11081409454345703
0.4620000123977661,0.726,0.8040000000000003,0.11173176765441895
0.4950000047683716,0.654,0.7750000000000002,0.11195826530456543
0.527999997138977,0.604,0.7439999999999999,0.11336302757263184
0.5609999895095825,0.578,0.711,0.1154639720916748
0.593999981880188,0.508,0.6760000000000002,0.11627936363220215
0.6270000338554382,0.514,0.639,0.11713886260986328
0.6600000262260437,0.452,0.5999999999999998,0.1252598762512207
0.6930000185966492,0.39,0.559,0.11994791030883789
0.7260000109672546,0.378,0.516,0.12100601196289062
0.7590000033378601,0.378,0.471,0.12166070938110352
0.7919999957084656,0.364,0.4239999999999997,0.12337636947631836
0.824999988079071,0.326,0.37499999999999994,0.12420797348022461
0.8580000400543213,0.316,0.3239999999999999,0.12567734718322754
0.8910000324249268,0.272,0.2709999999999999,0.12674999237060547
0.9240000247955322,0.266,0.21600000000000003,0.12791752815246582
0.9570000171661376,0.24,0.15899999999999997,0.1294236183166504
0.9900000095367432,0.23,0.10000000000000003,0.12989163398742676
